年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位,選手ID
2026,Aリーグ,セミファイナル,11,Bu Ki Chi,ＺＯＯ,2,31.2,15.6,2.00,"40,600点",10,"10,600点",1,0,1,0,50.0%,10,100.0%,6,10,,,,,,P0020
2026,Aリーグ,セミファイナル,12,Mychemi,MJ東京,3,29.5,9.8,2.33,"41,400点",9,"16,900点",1,1,0,1,33.3%,14,66.7%,25,14,,,,,,P0044
2026,Aリーグ,セミファイナル,13,ねこます,最強位ズ,2,21.8,10.9,2.50,"62,400点",2,-600点,1,0,0,1,50.0%,11,50.0%,29,11,,,,,,P0155
2026,Aリーグ,セミファイナル,14,年賀状,武装,1,17.6,17.6,2.00,"37,600点",15,"37,600点",0,1,0,0,0.0%,25,100.0%,13,15,,,,,,P0307
2026,Aリーグ,セミファイナル,15,橋本るり子,SILVER WOLVES,1,16.4,16.4,2.00,"36,400点",17,"36,400点",0,1,0,0,0.0%,26,100.0%,14,16,,,,,,P0249
2026,Aリーグ,セミファイナル,16,アベキング,武装,1,10,10,2.00,"30,000点",22,"30,000点",0,1,0,0,0.0%,27,100.0%,15,17,,,,,,P0070
2026,Aリーグ,セミファイナル,17,しんじゃうツモ,武装,1,9.3,9.3,2.00,"29,300点",23,"29,300点",0,1,0,0,0.0%,28,100.0%,16,18,,,,,,P0119
2026,Aリーグ,セミファイナル,18,チン☆パラ,MJ東京,1,2.9,2.9,2.00,"22,900点",25,"22,900点",0,1,0,0,0.0%,29,100.0%,17,19,,,,,,P0136
2026,Aリーグ,セミファイナル,19,石川安牌,SILVER WOLVES,2,0.9,0.4,2.50,"33,000点",19,"7,900点",1,0,0,1,50.0%,12,50.0%,30,12,,,,,,P0284
2026,Aリーグ,セミファイナル,20,どっち？弾平,電光石火,2,-1.7,-0.9,2.50,"38,600点",13,"19,700点",0,1,1,0,0.0%,17,100.0%,7,31,,,,,,P0143
2026,Aリーグ,セミファイナル,21,EmperorTime,電光石火,1,-17.5,-17.5,3.00,"22,500点",27,"22,500点",0,0,1,0,0.0%,30,100.0%,18,20,,,,,,P0024
2026,Aリーグ,セミファイナル,22,ゆんゆん,武装,1,-18.8,-18.8,3.00,"21,200点",30,"21,200点",0,0,1,0,0.0%,31,100.0%,19,21,,,,,,P0210
2026,Aリーグ,セミファイナル,22,ツナマヨ,武装,1,-18.8,-18.8,3.00,"21,200点",30,"21,200点",0,0,1,0,0.0%,31,100.0%,19,21,,,,,,P0138
2026,Aリーグ,セミファイナル,24,葛餅,MJ東京,1,-19.2,-19.2,3.00,"20,800点",32,"20,800点",0,0,1,0,0.0%,33,100.0%,21,23,,,,,,P0240
2026,Aリーグ,セミファイナル,25,赤哲,武装,1,-20.1,-20.1,3.00,"19,900点",33,"19,900点",0,0,1,0,0.0%,34,100.0%,22,24,,,,,,P0288
2026,Aリーグ,セミファイナル,26,松崎真也,SILVER WOLVES,1,-24.6,-24.6,3.00,"15,400点",34,"15,400点",0,0,1,0,0.0%,35,100.0%,23,25,,,,,,P0276
2026,Aリーグ,セミファイナル,27,店長倍損の上司,SILVER WOLVES,1,-25.1,-25.1,3.00,"14,900点",35,"14,900点",0,0,1,0,0.0%,36,100.0%,24,26,,,,,,P0302
2026,Aリーグ,セミファイナル,28,まーくん RMU,SILVER WOLVES,2,-26.9,-13.5,3.00,"35,300点",18,"17,800点",0,1,0,1,0.0%,18,50.0%,31,32,,,,,,P0184
2026,Aリーグ,セミファイナル,29,キラ、,MJ東京,2,-35,-17.5,3.00,"36,700点",16,"8,300点",0,1,0,1,0.0%,19,50.0%,32,33,,,,,,P0096
2026,Aリーグ,セミファイナル,30,上野あいみ,SILVER WOLVES,2,-37.8,-18.9,3.00,"21,400点",28,"20,800点",0,0,2,0,0.0%,20,100.0%,8,34,,,,,,P0279
2026,Aリーグ,セミファイナル,31,ブ茶ラティ,最強位ズ,2,-44.1,-22.1,3.00,"22,800点",26,"13,100点",0,1,0,1,0.0%,21,50.0%,33,35,,,,,,P0171
2026,Aリーグ,セミファイナル,32,フィクション,武装,2,-49,-24.5,3.00,"40,400点",11,"-9,400点",0,1,0,1,0.0%,22,50.0%,34,36,,,,,,P0165
2026,Aリーグ,セミファイナル,33,魔王,電光石火,1,-49.8,-49.8,4.00,"10,200点",37,"10,200点",0,0,0,1,0.0%,37,0.0%,37,27,,,,,,P0312
2026,Aリーグ,セミファイナル,34,rinruka,ＺＯＯ,1,-55.7,-55.7,4.00,"4,300点",38,"4,300点",0,0,0,1,0.0%,38,0.0%,38,28,,,,,,P0052
2026,Aリーグ,セミファイナル,35,ｒｒｒｒｒｒ,最強位ズ,1,-59.9,-59.9,4.00,100点,39,100点,0,0,0,1,0.0%,39,0.0%,39,29,,,,,,P0053
2026,Aリーグ,セミファイナル,36,すー,ＺＯＯ,2,-63.9,-32,3.00,"21,300点",29,"-5,200点",0,1,0,1,0.0%,23,50.0%,35,37,,,,,,P0121
2026,Aリーグ,セミファイナル,36,乙子,武装,1,-63.9,-63.9,4.00,"-3,900点",40,"-3,900点",0,0,0,1,0.0%,40,0.0%,40,30,,,,,,P0236
2026,Aリーグ,セミファイナル,38,えんがわ,MJ東京,2,-70.1,-35.1,3.50,"24,800点",24,"5,100点",0,0,1,1,0.0%,24,50.0%,36,38,,,,,,P0078
2026,Aリーグ,セミファイナル,39,戯言遣い,ＺＯＯ,3,-76.7,-25.6,3.00,"32,600点",20,"-1,300点",0,1,1,1,0.0%,15,66.7%,26,39,,,,,,P0242
2026,Aリーグ,セミファイナル,40,けっけ,電光石火,3,-107.1,-35.7,3.33,"13,600点",36,"7,300点",0,0,2,1,0.0%,16,66.7%,27,40,,,,,,P0102
2026,Aリーグ,レギュラー,1,どっち？弾平,電光石火,11,331.9,30.2,1.73,"58,900点",18,"5,100点",6,3,1,1,54.5%,2,90.9%,10,1,1,9,1,16.00,1,P0143
2026,Aリーグ,レギュラー,2,せいたろう,HIVE,13,251.3,19.3,2.00,"47,900点",40,"4,300点",5,5,1,2,38.5%,16,84.6%,28,5,2,27,5,37.00,15,P0122
2026,Aリーグ,レギュラー,2,年賀状,武装,7,251.3,35.9,1.57,"45,800点",45,"31,900点",3,4,0,0,42.9%,9,100.0%,8,11,3,8,11,42.00,8,P0307
2026,Aリーグ,レギュラー,4,魔王,電光石火,14,224,16,2.21,"58,000点",21,"15,500点",6,2,3,3,42.9%,8,78.6%,33,3,4,32,3,19.00,7,P0312
2026,Aリーグ,レギュラー,5,まびたん,最強位ズ,11,220.1,20,2.00,"54,900点",25,"10,300点",4,4,2,1,36.4%,25,90.9%,11,10,5,10,10,23.00,24,P0187
2026,Aリーグ,レギュラー,6,えんがわ,MJ東京,10,217.1,21.7,2.10,"77,100点",3,"1,600点",4,3,1,2,40.0%,15,80.0%,30,9,6,29,9,2.00,14,P0078
2026,Aリーグ,レギュラー,7,サンタマルコ,ＺＯＯ,13,211.2,16.2,2.08,"67,000点",8,"-18,100点",6,3,1,3,46.2%,4,76.9%,44,2,7,43,2,7.00,3,P0110
2026,Aリーグ,レギュラー,8,阿賀寿直,SILVER WOLVES,10,204.5,20.5,2.00,"51,100点",31,"-5,900点",5,2,1,2,50.0%,3,80.0%,31,4,8,30,4,28.00,2,P0228
