選手ID,選手名,対局数,半荘数,総局数,総合ポイント,平均順位,1着数,2着数,3着数,4着数,トップ率,連対率,ラス回避率,平均得点,最高得点,平均ポイント,和了数,和了率,ツモ和了数,ロン和了数,ツモ和了率,平均和了点,最高和了点,平均翻,平均符,放銃数,放銃率,平均放銃点,副露局数,副露率,平均副露回数,立直局数,立直率,立直和了数,立直和了率,ダマ和了数,流局数,流局率,親局数,親番和了数,親番和了率,役満数,平均ドラ数,平均赤ドラ数,平均裏ドラ数,総局収支,平均局収支,最大局収支,最小局収支,解析済局数,判定保留局数,解析完了率,集計区分,年度,シーズン,最低得点,2着率,3着率,4着率,最大放銃点,放銃回避率,ダマ和了率,副露和了数,副露和了率,門前和了数,門前和了率,親番放銃数,親番放銃率,親平均収支,子平均収支
P0044,Mychemi,1,1,14,6.2,2,0,1,0,0,0.0%,100.0%,100.0%,31200,31200,6.2,4,28.6%,3,1,75.0%,4600,12000,2.5,32.5,3,21.4%,2000,6,42.9%,1.833333333,2,14.3%,0,0.0%,4,1,7.1%,4,2,50.0%,0,0.75,0.5,0,6200,442.8571429,12000,-3200,14,0,100.0%,全期間,,,31200,100.0%,0.0%,0.0%,3200,78.6%,100.0%,3,50.0%,1,12.5%,1,25.0%,1125,170
P0044,Mychemi,1,1,14,6.2,2,0,1,0,0,0.0%,100.0%,100.0%,31200,31200,6.2,4,28.6%,3,1,75.0%,4600,12000,2.5,32.5,3,21.4%,2000,6,42.9%,1.833333333,2,14.3%,0,0.0%,4,1,7.1%,4,2,50.0%,0,0.75,0.5,0,6200,442.8571429,12000,-3200,14,0,100.0%,年度,2026,,31200,100.0%,0.0%,0.0%,3200,78.6%,100.0%,3,50.0%,1,12.5%,1,25.0%,1125,170
P0044,Mychemi,1,1,14,6.2,2,0,1,0,0,0.0%,100.0%,100.0%,31200,31200,6.2,4,28.6%,3,1,75.0%,4600,12000,2.5,32.5,3,21.4%,2000,6,42.9%,1.833333333,2,14.3%,0,0.0%,4,1,7.1%,4,2,50.0%,0,0.75,0.5,0,6200,442.8571429,12000,-3200,14,0,100.0%,シーズン,2026,セミファイナル,31200,100.0%,0.0%,0.0%,3200,78.6%,100.0%,3,50.0%,1,12.5%,1,25.0%,1125,170
P0053,ｒｒｒｒｒｒ,1,1,12,-60.8,4,0,0,0,1,0.0%,0.0%,0.0%,-35800,-35800,-60.8,1,8.3%,0,1,0.0%,1500,1500,1,30,6,50.0%,9883.333333,6,50.0%,3,3,25.0%,0,0.0%,1,1,8.3%,3,1,33.3%,0,0,0,0,-60800,-5066.666667,3800,-19000,12,0,100.0%,全期間,,,-35800,0.0%,0.0%,100.0%,18000,50.0%,100.0%,1,16.7%,0,0.0%,2,66.7%,-5600,-4888.888889
P0053,ｒｒｒｒｒｒ,1,1,12,-60.8,4,0,0,0,1,0.0%,0.0%,0.0%,-35800,-35800,-60.8,1,8.3%,0,1,0.0%,1500,1500,1,30,6,50.0%,9883.333333,6,50.0%,3,3,25.0%,0,0.0%,1,1,8.3%,3,1,33.3%,0,0,0,0,-60800,-5066.666667,3800,-19000,12,0,100.0%,年度,2026,,-35800,0.0%,0.0%,100.0%,18000,50.0%,100.0%,1,16.7%,0,0.0%,2,66.7%,-5600,-4888.888889
P0053,ｒｒｒｒｒｒ,1,1,12,-60.8,4,0,0,0,1,0.0%,0.0%,0.0%,-35800,-35800,-60.8,1,8.3%,0,1,0.0%,1500,1500,1,30,6,50.0%,9883.333333,6,50.0%,3,3,25.0%,0,0.0%,1,1,8.3%,3,1,33.3%,0,0,0,0,-60800,-5066.666667,3800,-19000,12,0,100.0%,シーズン,2026,セミファイナル,-35800,0.0%,0.0%,100.0%,18000,50.0%,100.0%,1,16.7%,0,0.0%,2,66.7%,-5600,-4888.888889
P0067,あすてる,1,1,10,-15.9,4,0,0,0,1,0.0%,0.0%,0.0%,9100,9100,-15.9,1,10.0%,1,0,100.0%,8000,8000,4,30,4,40.0%,4675,0,0.0%,,2,20.0%,1,50.0%,0,1,10.0%,2,0,0.0%,0,0,1,1,-15900,-1590,9000,-8000,10,0,100.0%,全期間,,,9100,0.0%,0.0%,100.0%,8000,60.0%,0.0%,0,,1,10.0%,1,50.0%,-5800,-537.5
P0067,あすてる,1,1,10,-15.9,4,0,0,0,1,0.0%,0.0%,0.0%,9100,9100,-15.9,1,10.0%,1,0,100.0%,8000,8000,4,30,4,40.0%,4675,0,0.0%,,2,20.0%,1,50.0%,0,1,10.0%,2,0,0.0%,0,0,1,1,-15900,-1590,9000,-8000,10,0,100.0%,年度,2026,,9100,0.0%,0.0%,100.0%,8000,60.0%,0.0%,0,,1,10.0%,1,50.0%,-5800,-537.5
P0067,あすてる,1,1,10,-15.9,4,0,0,0,1,0.0%,0.0%,0.0%,9100,9100,-15.9,1,10.0%,1,0,100.0%,8000,8000,4,30,4,40.0%,4675,0,0.0%,,2,20.0%,1,50.0%,0,1,10.0%,2,0,0.0%,0,0,1,1,-15900,-1590,9000,-8000,10,0,100.0%,シーズン,2026,セミファイナル,9100,0.0%,0.0%,100.0%,8000,60.0%,0.0%,0,,1,10.0%,1,50.0%,-5800,-537.5
P0075,エイデン二号機,1,1,14,11.6,3,0,0,1,0,0.0%,0.0%,100.0%,36600,36600,11.6,3,21.4%,2,1,66.7%,7666.666667,12000,4.333333333,23.33333333,1,7.1%,5200,5,35.7%,3.4,3,21.4%,2,66.7%,1,1,7.1%,3,1,33.3%,0,1,0.3333333333,0.6666666667,11600,828.5714286,12900,-6200,14,0,100.0%,全期間,,,36600,0.0%,100.0%,0.0%,5200,92.9%,33.3%,0,0.0%,3,33.3%,0,0.0%,600,890.9090909
