年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位
2025,Bリーグ,セミファイナル,6,べびたん,enjoyすればイイ雀！,3,70.2,23.4,2.00,"42,000点",13,"10,100点",2,0,0,1,66.7%,7,66.7%,25,5,,,,,
2025,Bリーグ,セミファイナル,7,じゅねこ,enjoyすればイイ雀！,1,66.6,66.6,1.00,"46,600点",10,"46,600点",1,0,0,0,100.0%,3,100.0%,18,8,,,,,
2025,Bリーグ,セミファイナル,7,ｒｒｒｒｒｒ,最強位ズ,3,66.6,22.2,1.67,"34,100点",26,"24,300点",1,2,0,0,33.3%,10,100.0%,7,10,,,,,
2025,Bリーグ,セミファイナル,9,シクラメン富男,たちこまーず,4,63.1,15.8,2.25,"39,500点",16,"17,100点",2,0,1,1,50.0%,8,75.0%,21,6,,,,,
2025,Bリーグ,セミファイナル,10,ミッキー柳井,電光石火,4,56.7,14.2,2.00,"39,200点",17,"20,600点",1,2,1,0,25.0%,16,100.0%,2,16,,,,,
2025,Bリーグ,セミファイナル,11,魔王,電光石火,3,40.5,13.5,2.00,"39,200点",17,"19,800点",1,1,1,0,33.3%,11,100.0%,8,11,,,,,
2025,Bリーグ,セミファイナル,12,としや,たちこまーず,3,38.4,12.8,2.33,"55,000点",5,"12,900点",1,1,0,1,33.3%,12,66.7%,26,12,,,,,
2025,Bリーグ,セミファイナル,13,JILL,たちこまーず,2,36.5,18.3,2.00,"39,600点",15,"16,900点",1,0,1,0,50.0%,9,100.0%,13,9,,,,,
2025,Bリーグ,セミファイナル,14,リー,HIVE,3,35.1,11.7,2.33,"47,200点",9,"10,900点",1,1,0,1,33.3%,13,66.7%,27,13,,,,,
2025,Bリーグ,セミファイナル,15,けっけ,電光石火,4,27.9,7,2.25,"38,400点",20,"15,900点",1,2,0,1,25.0%,17,75.0%,22,17,,,,,
2025,Bリーグ,セミファイナル,16,Blush,enjoyすればイイ雀！,3,21.1,7,2.33,"37,900点",21,"12,500点",1,1,0,1,33.3%,14,66.7%,28,14,,,,,
2025,Bリーグ,セミファイナル,17,かに,enjoyすればイイ雀！,2,15.2,7.6,2.00,"32,200点",28,"23,000点",0,2,0,0,0.0%,33,100.0%,14,27,,,,,
2025,Bリーグ,セミファイナル,18,ねこます,最強位ズ,4,11.7,2.9,2.25,"36,900点",23,"7,400点",1,1,2,0,25.0%,18,100.0%,3,18,,,,,
2025,Bリーグ,セミファイナル,19,七対子大好き,enjoyすればイイ雀！,1,10.2,10.2,2.00,"30,200点",31,"30,200点",0,1,0,0,0.0%,39,100.0%,19,25,,,,,
2025,Bリーグ,セミファイナル,20,どっち？弾平,電光石火,3,7.8,2.6,2.33,"42,400点",12,"15,700点",0,2,1,0,0.0%,27,100.0%,9,33,,,,,
2025,Bリーグ,セミファイナル,21,ブ茶ラティ,最強位ズ,3,3.5,1.2,2.33,"32,000点",30,"21,200点",0,2,1,0,0.0%,28,100.0%,10,34,,,,,
2025,Bリーグ,セミファイナル,22,よつば@tobi,たちこまーず,3,-5.7,-1.9,2.33,"28,300点",33,"23,000点",0,2,1,0,0.0%,29,100.0%,11,35,,,,,
2025,Bリーグ,セミファイナル,23,銀河,enjoyすればイイ雀！,6,-12.9,-2.2,2.67,"57,400点",4,"20,100点",1,1,3,1,16.7%,24,83.3%,20,24,,,,,
2025,Bリーグ,セミファイナル,24,まびたん,最強位ズ,4,-13.8,-3.5,2.50,"34,900点",25,"11,500点",1,1,1,1,25.0%,19,75.0%,23,19,,,,,
2025,Bリーグ,セミファイナル,25,せいたろう,HIVE,4,-17.4,-4.4,2.75,"48,600点",8,900点,1,1,0,2,25.0%,20,50.0%,32,20,,,,,
2025,Bリーグ,セミファイナル,26,せなmam@,enjoyすればイイ雀！,3,-21.3,-7.1,2.67,"37,300点",22,"13,100点",0,2,0,1,0.0%,30,66.7%,29,36,,,,,
2025,Bリーグ,セミファイナル,27,Bu Ki Chi,ＺＯＯ,4,-26.2,-6.6,2.75,"53,300点",6,"1,600点",1,0,2,1,25.0%,21,75.0%,24,21,,,,,
2025,Bリーグ,セミファイナル,28,ミズゴロウ♂,たちこまーず,3,-31.7,-10.6,2.67,"35,500点",24,"-3,100点",1,0,1,1,33.3%,15,66.7%,30,15,,,,,
2025,Bリーグ,セミファイナル,29,ゆん,HIVE,2,-35.5,-17.8,3.00,"33,800点",27,"10,700点",0,1,0,1,0.0%,34,50.0%,34,28,,,,,
2025,Bリーグ,セミファイナル,30,EmperorTime,電光石火,2,-41.4,-20.7,3.00,"20,900点",36,"17,700点",0,0,2,0,0.0%,35,100.0%,15,29,,,,,
2025,Bリーグ,セミファイナル,31,rinruka,ＺＯＯ,5,-50.7,-10.1,2.60,"24,800点",34,"19,300点",0,2,3,0,0.0%,25,100.0%,1,40,,,,,
2025,Bリーグ,セミファイナル,32,たちこま,たちこまーず,2,-51.1,-25.6,3.00,"16,100点",38,"12,800点",0,0,2,0,0.0%,36,100.0%,16,30,,,,,
2025,Bリーグ,セミファイナル,33,ブロッケンG,enjoyすればイイ雀！,1,-57.2,-57.2,4.00,"2,800点",40,"2,800点",0,0,0,1,0.0%,40,0.0%,40,26,,,,,
2025,Bリーグ,セミファイナル,34,Hiromu,最強位ズ,3,-60.2,-20.1,3.00,"32,100点",29,"-3,200点",0,1,1,1,0.0%,31,66.7%,31,37,,,,,
2025,Bリーグ,セミファイナル,35,k-k,電光石火,4,-60.9,-15.2,3.00,"64,800点",2,"-4,600点",1,0,1,2,25.0%,22,50.0%,33,22,,,,,
2025,Bリーグ,セミファイナル,36,すー,ＺＯＯ,5,-80,-16,3.00,"51,100点",7,"-6,500点",1,1,0,3,20.0%,23,40.0%,35,23,,,,,
2025,Bリーグ,セミファイナル,37,おぼろ,HIVE,2,-91.2,-45.6,4.00,"18,900点",37,"9,900点",0,0,0,2,0.0%,37,0.0%,38,31,,,,,
2025,Bリーグ,セミファイナル,38,戯言遣い,ＺＯＯ,2,-103.4,-51.7,4.00,"11,200点",39,"5,400点",0,0,0,2,0.0%,38,0.0%,39,32,,,,,
2025,Bリーグ,セミファイナル,39,はち,たちこまーず,3,-139.2,-46.4,3.67,"22,200点",35,"-1,300点",0,0,1,2,0.0%,32,33.3%,36,38,,,,,
2025,Bリーグ,セミファイナル,40,最後のZ戦士達,HIVE,4,-175.5,-43.9,3.75,"29,000点",32,"-7,500点",0,0,1,3,0.0%,26,25.0%,37,39,,,,,
2025,Bリーグ,ファイナル,1,坊や哲,たちこまーず,2,137.4,68.7,1.00,"55,500点",1,"41,900点",2,0,0,0,100.0%,1,100.0%,6,1,,,,,
2025,Bリーグ,ファイナル,2,ブ茶ラティ,最強位ズ,2,130.5,65.3,1.00,"48,400点",4,"42,100点",2,0,0,0,100.0%,2,100.0%,7,2,,,,,
2025,Bリーグ,ファイナル,3,たちこま,たちこまーず,3,124.3,41.4,1.67,"55,400点",2,"25,300点",2,0,1,0,66.7%,4,100.0%,2,3,,,,,
2025,Bリーグ,ファイナル,4,はち,たちこまーず,2,61.6,30.8,1.50,"34,500点",13,"27,100点",1,1,0,0,50.0%,5,100.0%,8,5,,,,,
2025,Bリーグ,ファイナル,5,EmperorTime,電光石火,1,53,53,1.00,"33,000点",14,"33,000点",1,0,0,0,100.0%,3,100.0%,14,4,,,,,
2025,Bリーグ,ファイナル,6,サンタマルコ,ＺＯＯ,3,51.2,17.1,2.00,"44,800点",5,"17,500点",1,1,1,0,33.3%,9,100.0%,3,9,,,,,
2025,Bリーグ,ファイナル,7,ねこます,最強位ズ,2,46.7,23.4,2.00,"51,300点",3,"15,400点",1,0,1,0,50.0%,6,100.0%,9,6,,,,,
2025,Bリーグ,ファイナル,8,魔王,電光石火,2,44.5,22.3,2.00,"36,300点",8,"28,200点",1,0,1,0,50.0%,7,100.0%,10,7,,,,,
2025,Bリーグ,ファイナル,9,リョータ,最強位ズ,3,22,7.3,2.33,"36,300点",8,"17,700点",1,0,2,0,33.3%,10,100.0%,4,10,,,,,
2025,Bリーグ,ファイナル,10,けっけ,電光石火,2,19.5,9.8,2.00,"35,200点",12,"24,300点",0,2,0,0,0.0%,15,100.0%,11,15,,,,,
2025,Bリーグ,ファイナル,11,k-k,電光石火,2,8.4,4.2,2.50,"38,900点",6,"9,500点",1,0,0,1,50.0%,8,50.0%,17,8,,,,,
2025,Bリーグ,ファイナル,12,Hiromu,最強位ズ,2,-9.2,-4.6,2.50,"28,300点",17,"22,500点",0,1,1,0,0.0%,16,100.0%,12,16,,,,,
2025,Bリーグ,ファイナル,13,Bu Ki Chi,ＺＯＯ,4,-14.8,-3.7,2.50,"35,700点",11,"20,200点",0,2,2,0,0.0%,12,100.0%,1,26,,,,,
2025,Bリーグ,ファイナル,14,rinruka,ＺＯＯ,2,-17.7,-8.9,2.50,"25,300点",21,"17,000点",0,1,1,0,0.0%,17,100.0%,13,17,,,,,
2025,Bリーグ,ファイナル,15,としや,たちこまーず,1,-23.2,-23.2,3.00,"16,800点",22,"16,800点",0,0,1,0,0.0%,24,100.0%,15,12,,,,,
2025,Bリーグ,ファイナル,16,シクラメン富男,たちこまーず,2,-27.1,-13.6,3.00,"38,400点",7,"14,500点",0,1,0,1,0.0%,18,50.0%,18,18,,,,,
2025,Bリーグ,ファイナル,17,戯言遣い,ＺＯＯ,2,-38,-19,3.00,"35,800点",10,"6,200点",0,1,0,1,0.0%,19,50.0%,19,19,,,,,
2025,Bリーグ,ファイナル,18,どっち？弾平,電光石火,2,-41.2,-20.6,3.00,"25,400点",20,"13,400点",0,1,0,1,0.0%,20,50.0%,20,20,,,,,
2025,Bリーグ,ファイナル,19,フミオ,電光石火,3,-41.7,-13.9,2.67,"30,000点",16,"13,400点",0,1,2,0,0.0%,13,100.0%,5,24,,,,,
2025,Bリーグ,ファイナル,20,まびたん,最強位ズ,2,-45.6,-22.8,3.00,"27,400点",18,"7,000点",0,1,0,1,0.0%,21,50.0%,21,21,,,,,
2025,Bリーグ,ファイナル,21,よつば@tobi,たちこまーず,1,-50.3,-50.3,4.00,"9,700点",25,"9,700点",0,0,0,1,0.0%,25,0.0%,25,13,,,,,
2025,Bリーグ,ファイナル,22,すー,ＺＯＯ,3,-53.7,-17.9,3.00,"32,300点",15,"6,700点",1,0,0,2,33.3%,11,33.3%,22,11,,,,,
2025,Bリーグ,ファイナル,23,ｒｒｒｒｒｒ,最強位ズ,3,-57.1,-19,3.00,"26,300点",19,"16,700点",0,1,1,1,0.0%,14,66.7%,16,25,,,,,
2025,Bリーグ,ファイナル,24,ミズゴロウ♂,たちこまーず,1,-60.3,-60.3,4.00,-300点,26,-300点,0,0,0,1,0.0%,26,0.0%,26,14,,,,,
2025,Bリーグ,ファイナル,25,ミッキー柳井,電光石火,2,-102.9,-51.5,4.00,"12,100点",23,"5,000点",0,0,0,2,0.0%,22,0.0%,23,22,,,,,
2025,Bリーグ,ファイナル,26,JILL,たちこまーず,2,-116.3,-58.2,4.00,"9,800点",24,"-6,100点",0,0,0,2,0.0%,23,0.0%,24,23,,,,,
2025,Bリーグ,レギュラー,1,魔王,電光石火,13,280.7,21.6,2.00,"66,800点",9,"-3,800点",6,2,4,1,46.2%,6,92.3%,7,2,1,5,2,9,4
2025,Bリーグ,レギュラー,2,すー,ＺＯＯ,12,255.2,21.3,1.92,"48,000点",40,"3,200点",6,2,3,1,50.0%,4,91.7%,9,1,2,7,1,35,2
