年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2026,Bリーグ,レギュラー, 211 ,2026/06/23,22:24:07,Team MJ lovers,溝渕智也,-22.6,3着,,17400,P0259
2026,Bリーグ,レギュラー, 211 ,2026/06/23,22:24:07,さわやかMJ野郎の会,ソニア@SMY会,-50.2,4着,,9800,P0127
2026,Aリーグ,レギュラー, 212 ,2026/06/23,22:34:48,ＺＯＯ,すー,74.0,1着,第二試合,54000,P0121
2026,Aリーグ,レギュラー, 212 ,2026/06/23,22:34:48,レッドリボン軍,小倉唯,12.5,2着,,32500,P0273
2026,Aリーグ,レギュラー, 212 ,2026/06/23,22:34:48,SILVER WOLVES,田口淳之介,-18.5,3着,,21500,P0269
2026,Aリーグ,レギュラー, 212 ,2026/06/23,22:34:48,MJAC愛好会,湾奥アングラー,-68.0,4着,,-8000,P0323
2026,Bリーグ,レギュラー, 213 ,2026/06/23,22:36:09,Vertice,しょう&るな,70.2,1着,第二試合,50200,P0117
2026,Bリーグ,レギュラー, 213 ,2026/06/23,22:36:09,チートイズ,おさやスイープ,6.5,2着,,26500,P0081
2026,Bリーグ,レギュラー, 213 ,2026/06/23,22:36:09,教室生☆KSC,Anmi,-17.5,3着,,22500,P0016
2026,Bリーグ,レギュラー, 213 ,2026/06/23,22:36:09,他力本願寺,とり,-59.2,4着,,800,P0148
2026,Aリーグ,レギュラー, 214 ,2026/06/23,22:36:40,MJ東京,えんがわ,97.1,1着,第二試合,77100,P0078
2026,Aリーグ,レギュラー, 214 ,2026/06/23,22:36:40,武装,フィクション,8.2,2着,,28200,P0165
2026,Aリーグ,レギュラー, 214 ,2026/06/23,22:36:40,最強位ズ,まびたん,-18.6,3着,,21400,P0187
2026,Aリーグ,レギュラー, 214 ,2026/06/23,22:36:40,HIVE,ぽこぽこぽこり,-86.7,4着,,-26700,P0179
2026,Aリーグ,レギュラー, 215 ,2026/06/23,22:47:13,たちこまーず,たちこま,56.7,1着,第二試合,36700,P0134
2026,Aリーグ,レギュラー, 215 ,2026/06/23,22:47:13,enjoyすればイイ雀！,Blush,7.0,2着,,27000,P0019
2026,Aリーグ,レギュラー, 215 ,2026/06/23,22:47:13,SSブルーバーズ,ハナノア,-19.4,3着,,20600,P0158
2026,Aリーグ,レギュラー, 215 ,2026/06/23,22:47:13,電光石火,魔王,-44.3,4着,,15700,P0312
2026,Bリーグ,レギュラー, 216 ,2026/06/23,22:53:38,Brave Revengers,みり,78.0,1着,第二試合,58000,P0196
2026,Bリーグ,レギュラー, 216 ,2026/06/23,22:53:38,TEAM AJITO,ヤス,-2.9,2着,,17100,P0199
2026,Bリーグ,レギュラー, 216 ,2026/06/23,22:53:38,La vie en Rose,★神威★,-26.0,3着,,14000,P0007
2026,Bリーグ,レギュラー, 216 ,2026/06/23,22:53:38,IRU,？？？？？,-49.1,4着,,10900,P0001
2026,Aリーグ,レギュラー, 217 ,2026/06/25,21:24:36,ＺＯＯ,ご飯にバター,59.9,1着,第一試合,39900,P0106
2026,Aリーグ,レギュラー, 217 ,2026/06/25,21:24:36,武装,アベキング,9.6,2着,,29600,P0070
2026,Aリーグ,レギュラー, 217 ,2026/06/25,21:24:36,enjoyすればイイ雀！,みや,-20.6,3着,,19400,P0195
2026,Aリーグ,レギュラー, 217 ,2026/06/25,21:24:36,HIVE,カルア,-48.9,4着,,11100,P0093
2026,Bリーグ,レギュラー, 218 ,2026/06/25,21:27:43,おたまーず,羽田暁音,64.6,1着,第一試合,44600,P0232
2026,Bリーグ,レギュラー, 218 ,2026/06/25,21:27:43,さわやかMJ野郎の会,つよ,9.3,2着,,29300,P0139
2026,Bリーグ,レギュラー, 218 ,2026/06/25,21:27:43,Vertice,moka,-26.7,3着,,13300,P0042
2026,Bリーグ,レギュラー, 218 ,2026/06/25,21:27:43,TEAM AJITO,神田大行,-47.2,4着,,12800,P0282
2026,Bリーグ,レギュラー, 219 ,2026/06/25,21:33:35,Brave Revengers,りゅー,62.1,1着,第一試合,42100,P0215
2026,Bリーグ,レギュラー, 219 ,2026/06/25,21:33:35,教室生☆KSC,Redstar,21.1,2着,,41100,P0051
2026,Bリーグ,レギュラー, 219 ,2026/06/25,21:33:35,IRU,猪突猛進男,-22.4,3着,,17600,P0299
2026,Bリーグ,レギュラー, 219 ,2026/06/25,21:33:35,楽しめばイイ雀,ゆうやなのだ,-60.8,4着,,-800,P0205
2026,Aリーグ,レギュラー, 220 ,2026/06/25,21:47:01,MJAC愛好会,おかぴー,69.0,1着,第一試合,49000,P0079
2026,Aリーグ,レギュラー, 220 ,2026/06/25,21:47:01,最強位ズ,Hiromu,22.2,2着,,42200,P0030
2026,Aリーグ,レギュラー, 220 ,2026/06/25,21:47:01,電光石火,けっけ,-23.1,3着,,16900,P0102
2026,Aリーグ,レギュラー, 220 ,2026/06/25,21:47:01,SSブルーバーズ,サヴェ松田,-68.1,4着,,-8100,P0107
2026,Aリーグ,レギュラー, 221 ,2026/06/25,21:49:44,SILVER WOLVES,橋本るり子,57.7,1着,第一試合,37700,P0249
2026,Aリーグ,レギュラー, 221 ,2026/06/25,21:49:44,レッドリボン軍,B地区,7.7,2着,,27700,P0021
2026,Aリーグ,レギュラー, 221 ,2026/06/25,21:49:44,MJ東京,葛餅,-19.6,3着,,20400,P0240
2026,Aリーグ,レギュラー, 221 ,2026/06/25,21:49:44,たちこまーず,JILL,-45.8,4着,,14200,P0033
2026,Bリーグ,レギュラー, 222 ,2026/06/25,21:59:00,La vie en Rose,まんまる,97.8,1着,第一試合,77800,P0190
2026,Bリーグ,レギュラー, 222 ,2026/06/25,21:59:00,チートイズ,公務員麻雀M,3.8,2着,,23800,P0258
2026,Bリーグ,レギュラー, 222 ,2026/06/25,21:59:00,Team MJ lovers,ysk,-35.2,3着,,4800,P0065
2026,Bリーグ,レギュラー, 222 ,2026/06/25,21:59:00,他力本願寺,とり,-66.4,4着,,-6400,P0148
2026,Aリーグ,レギュラー, 223 ,2026/06/25,22:26:06,MJAC愛好会,ロンリーボーイ,51.5,1着,第二試合,31500,P0224
2026,Aリーグ,レギュラー, 223 ,2026/06/25,22:26:06,電光石火,k-k,6.1,2着,,26100,P0034
2026,Aリーグ,レギュラー, 223 ,2026/06/25,22:26:06,最強位ズ,ダイゴ＠LA,-15.6,3着,,24400,P0130
2026,Aリーグ,レギュラー, 223 ,2026/06/25,22:26:06,SSブルーバーズ,鈴木正道,-42.0,4着,,18000,P0004
2026,Bリーグ,レギュラー, 224 ,2026/06/25,22:33:38,La vie en Rose,なほみん,56.1,1着,第二試合,36100,P0153
2026,Bリーグ,レギュラー, 224 ,2026/06/25,22:33:38,他力本願寺,たくおっち,16.0,2着,,36000,P0132
2026,Bリーグ,レギュラー, 224 ,2026/06/25,22:33:38,Team MJ lovers,ysk,-22.0,3着,,18000,P0065
2026,Bリーグ,レギュラー, 224 ,2026/06/25,22:33:38,チートイズ,おさやスイープ,-50.1,4着,,9900,P0081
2026,Aリーグ,レギュラー, 225 ,2026/06/25,22:37:16,武装,ゆんゆん,55.5,1着,第二試合,35500,P0210
2026,Aリーグ,レギュラー, 225 ,2026/06/25,22:37:16,ＺＯＯ,ご飯にバター,10.2,2着,,30200,P0106
2026,Aリーグ,レギュラー, 225 ,2026/06/25,22:37:16,enjoyすればイイ雀！,ブロッケンG,-10.3,3着,,29700,P0170
2026,Aリーグ,レギュラー, 225 ,2026/06/25,22:37:16,HIVE,最後のZ戦士達,-55.4,4着,,4600,P0261
2026,Aリーグ,レギュラー, 226 ,2026/06/25,22:37:55,レッドリボン軍,ベヘリット,98.7,1着,第二試合,78700,P0174
2026,Aリーグ,レギュラー, 226 ,2026/06/25,22:37:55,SILVER WOLVES,上野あいみ,8.7,2着,,28700,P0279
2026,Aリーグ,レギュラー, 226 ,2026/06/25,22:37:55,たちこまーず,はち,-38.6,3着,,1400,P0157
2026,Aリーグ,レギュラー, 226 ,2026/06/25,22:37:55,MJ東京,Mychemi,-68.8,4着,,-8800,P0044
2026,Bリーグ,レギュラー, 227 ,2026/06/25,22:39:59,さわやかMJ野郎の会,★月刃★,67.3,1着,第二試合,47300,P0006
2026,Bリーグ,レギュラー, 227 ,2026/06/25,22:39:59,TEAM AJITO,TOM,8.3,2着,,28300,P0057
2026,Bリーグ,レギュラー, 227 ,2026/06/25,22:39:59,Vertice,ゆうー,-25.2,3着,,14800,P0203
2026,Bリーグ,レギュラー, 227 ,2026/06/25,22:39:59,おたまーず,羽田暁音,-50.4,4着,,9600,P0232
2026,Bリーグ,レギュラー, 228 ,2026/06/25,22:43:43,IRU,蒼,65.3,1着,第二試合,45300,P0293
2026,Bリーグ,レギュラー, 228 ,2026/06/25,22:43:43,Brave Revengers,仇森龍,12.9,2着,,32900,P0245
2026,Bリーグ,レギュラー, 228 ,2026/06/25,22:43:43,教室生☆KSC,Anmi,-20.1,3着,,19900,P0016
2026,Bリーグ,レギュラー, 228 ,2026/06/25,22:43:43,楽しめばイイ雀,Kou,-58.1,4着,,1900,P0038
2026,Bリーグ,レギュラー, 229 ,2026/06/26,21:23:48,Vertice,フィーレン,61.9,1着,第一試合,41900,P0164
2026,Bリーグ,レギュラー, 229 ,2026/06/26,21:23:48,教室生☆KSC,☆魔雀T塾生☆,16.2,2着,,36200,P0010
2026,Bリーグ,レギュラー, 229 ,2026/06/26,21:23:48,チートイズ,あすてる,-20.7,3着,,19300,P0067
2026,Bリーグ,レギュラー, 229 ,2026/06/26,21:23:48,おたまーず,おたま♪,-57.4,4着,,2600,P0084
2026,Bリーグ,レギュラー, 230 ,2026/06/26,21:33:56,TEAM AJITO,KGRS,57.0,1着,第一試合,37000,P0037
2026,Bリーグ,レギュラー, 230 ,2026/06/26,21:33:56,La vie en Rose,ジョーカー,8.7,2着,,28700,P0118
2026,Bリーグ,レギュラー, 230 ,2026/06/26,21:33:56,楽しめばイイ雀,わたちゃん,-20.8,3着,,19200,P0226
2026,Bリーグ,レギュラー, 230 ,2026/06/26,21:33:56,他力本願寺,YOU太郎,-44.9,4着,,15100,P0064
2026,Bリーグ,レギュラー, 231 ,2026/06/26,21:36:21,Brave Revengers,nesre,72.6,1着,第一試合,52600,P0047
2026,Bリーグ,レギュラー, 231 ,2026/06/26,21:36:21,Team MJ lovers,μゆぅちゃん,10.9,2着,,30900,P0327
2026,Bリーグ,レギュラー, 231 ,2026/06/26,21:36:21,IRU,？？？？？,-19.2,3着,,20800,P0001
2026,Bリーグ,レギュラー, 231 ,2026/06/26,21:36:21,さわやかMJ野郎の会,黙示録@SMY会,-64.3,4着,,-4300,P0316
2026,Aリーグ,レギュラー, 232 ,2026/06/26,21:36:41,SILVER WOLVES,阿賀寿直,64.9,1着,第一試合,44900,P0228
2026,Aリーグ,レギュラー, 232 ,2026/06/26,21:36:41,武装,年賀状,21.5,2着,,41500,P0307
2026,Aリーグ,レギュラー, 232 ,2026/06/26,21:36:41,HIVE,郷 ひろし,-23.3,3着,,16700,P0250
2026,Aリーグ,レギュラー, 232 ,2026/06/26,21:36:41,MJAC愛好会,ロッキンポ,-63.1,4着,,-3100,P0223
2026,Aリーグ,レギュラー, 233 ,2026/06/26,21:37:22,最強位ズ,リョータ,61.3,1着,第一試合,41300,P0217
2026,Aリーグ,レギュラー, 233 ,2026/06/26,21:37:22,MJ東京,ななね,8.7,2着,,28700,P0152
2026,Aリーグ,レギュラー, 233 ,2026/06/26,21:37:22,ＺＯＯ,すー,-13.7,3着,,26300,P0121
2026,Aリーグ,レギュラー, 233 ,2026/06/26,21:37:22,電光石火,k-k,-56.3,4着,,3700,P0034
2026,Aリーグ,レギュラー, 234 ,2026/06/26,21:46:29,SSブルーバーズ,どうみき,60.1,1着,第一試合,40100,P0141
2026,Aリーグ,レギュラー, 234 ,2026/06/26,21:46:29,enjoyすればイイ雀！,銀河,5.9,2着,,25900,P0253
2026,Aリーグ,レギュラー, 234 ,2026/06/26,21:46:29,レッドリボン軍,くまさぶろー,-18.4,3着,,21600,P0100
2026,Aリーグ,レギュラー, 234 ,2026/06/26,21:46:29,たちこまーず,おしゃる,-47.6,4着,,12400,P0082
2026,Bリーグ,レギュラー, 235 ,2026/06/26,22:27:00,教室生☆KSC,☆魔雀T塾生☆,46.6,1着,第二試合,26600,P0010
2026,Bリーグ,レギュラー, 235 ,2026/06/26,22:27:00,Vertice,フィーレン,6.3,2着,,26300,P0164
2026,Bリーグ,レギュラー, 235 ,2026/06/26,22:27:00,チートイズ,じんぱぱ,-14.5,3着,,25500,P0120
2026,Bリーグ,レギュラー, 235 ,2026/06/26,22:27:00,おたまーず,おたま♪,-38.4,4着,,21600,P0084
2026,Aリーグ,レギュラー, 236 ,2026/06/26,22:30:19,たちこまーず,まぽぽ,52.4,1着,第二試合,32400,P0188
2026,Aリーグ,レギュラー, 236 ,2026/06/26,22:30:19,SSブルーバーズ,ポテト吉野,8.6,2着,,28600,P0181
2026,Aリーグ,レギュラー, 236 ,2026/06/26,22:30:19,enjoyすればイイ雀！,かに,-13.0,3着,,27000,P0091
2026,Aリーグ,レギュラー, 236 ,2026/06/26,22:30:19,レッドリボン軍,なおすけ,-48.0,4着,,12000,P0150
2026,Aリーグ,レギュラー, 237 ,2026/06/26,22:31:40,最強位ズ,ねこます,59.0,1着,第二試合,39000,P0155
2026,Aリーグ,レギュラー, 237 ,2026/06/26,22:31:40,電光石火,EmperorTime,7.7,2着,,27700,P0024
2026,Aリーグ,レギュラー, 237 ,2026/06/26,22:31:40,ＺＯＯ,ご飯にバター,-13.8,3着,,26200,P0106
2026,Aリーグ,レギュラー, 237 ,2026/06/26,22:31:40,MJ東京,キレそう,-52.9,4着,,7100,P0097
2026,Bリーグ,レギュラー, 238 ,2026/06/26,22:31:55,TEAM AJITO,ｋｅｎ@あじと,51.0,1着,第二試合,31000,P0036
2026,Bリーグ,レギュラー, 238 ,2026/06/26,22:31:55,La vie en Rose,ふとふと,6.8,2着,,26800,P0167
2026,Bリーグ,レギュラー, 238 ,2026/06/26,22:31:55,他力本願寺,まんまるきや,-18.5,3着,,21500,P0191
2026,Bリーグ,レギュラー, 238 ,2026/06/26,22:31:55,楽しめばイイ雀,nana.jo,-39.3,4着,,20700,P0045
2026,Bリーグ,レギュラー, 239 ,2026/06/26,22:34:52,Team MJ lovers,小林宏康,69.3,1着,第二試合,49300,P0275
2026,Bリーグ,レギュラー, 239 ,2026/06/26,22:34:52,さわやかMJ野郎の会,Blue-K18,12.9,2着,,32900,P0018
2026,Bリーグ,レギュラー, 239 ,2026/06/26,22:34:52,IRU,uki,-30.8,3着,,9200,P0059
2026,Bリーグ,レギュラー, 239 ,2026/06/26,22:34:52,Brave Revengers,ペン,-51.4,4着,,8600,P0175
2026,Aリーグ,レギュラー, 240 ,2026/06/26,22:37:30,HIVE,せいたろう,58.1,1着,第二試合,38100,P0122
2026,Aリーグ,レギュラー, 240 ,2026/06/26,22:37:30,MJAC愛好会,冬のミルク,11.5,2着,,31500,P0304
2026,Aリーグ,レギュラー, 240 ,2026/06/26,22:37:30,武装,しんじゃうツモ,-14.9,3着,,25100,P0119
2026,Aリーグ,レギュラー, 240 ,2026/06/26,22:37:30,SILVER WOLVES,石川安牌,-54.7,4着,,5300,P0284
2026,Bリーグ,レギュラー, 241 ,2026/06/29,21:28:11,さわやかMJ野郎の会,つよ,63.0,1着,第一試合,43000,P0139
2026,Bリーグ,レギュラー, 241 ,2026/06/29,21:28:11,他力本願寺,灰鶴,14.1,2着,,34100,P0239
2026,Bリーグ,レギュラー, 241 ,2026/06/29,21:28:11,教室生☆KSC,元教室生タク,-27.1,3着,,12900,P0255
2026,Bリーグ,レギュラー, 241 ,2026/06/29,21:28:11,TEAM AJITO,KGRS,-50.0,4着,,10000,P0037
2026,Aリーグ,レギュラー, 242 ,2026/06/29,21:35:04,enjoyすればイイ雀！,じゅねこ,62.9,1着,第一試合,42900,P0116
2026,Aリーグ,レギュラー, 242 ,2026/06/29,21:35:04,MJ東京,キラ、,12.2,2着,,32200,P0096
2026,Aリーグ,レギュラー, 242 ,2026/06/29,21:35:04,電光石火,ひろとだポン,-9.2,3着,,30800,P0163
2026,Aリーグ,レギュラー, 242 ,2026/06/29,21:35:04,SILVER WOLVES,阿賀寿直,-65.9,4着,,-5900,P0228
2026,Bリーグ,レギュラー, 243 ,2026/06/29,21:35:11,おたまーず,くれば,60.4,1着,第一試合,40400,P0101
2026,Bリーグ,レギュラー, 243 ,2026/06/29,21:35:11,IRU,aoking,17.5,2着,,37500,P0017
2026,Bリーグ,レギュラー, 243 ,2026/06/29,21:35:11,Vertice,ゆうー,-20.9,3着,,19100,P0203
2026,Bリーグ,レギュラー, 243 ,2026/06/29,21:35:11,楽しめばイイ雀,わたちゃん,-57.0,4着,,3000,P0226
2026,Bリーグ,レギュラー, 244 ,2026/06/29,21:36:10,Brave Revengers,nesre,99.3,1着,第一試合,79300,P0047
2026,Bリーグ,レギュラー, 244 ,2026/06/29,21:36:10,Team MJ lovers,喜多剛士@μ,2.7,2着,,22700,P0241
2026,Bリーグ,レギュラー, 244 ,2026/06/29,21:36:10,チートイズ,公務員麻雀M,-24.8,3着,,15200,P0258
2026,Bリーグ,レギュラー, 244 ,2026/06/29,21:36:10,La vie en Rose,匕首◆,-77.2,4着,,-17200,P0325
2026,Aリーグ,レギュラー, 245 ,2026/06/29,21:36:30,たちこまーず,坊や哲,49.9,1着,第一試合,29900,P0310
2026,Aリーグ,レギュラー, 245 ,2026/06/29,21:36:30,ＺＯＯ,すー,8.4,2着,,28400,P0121
2026,Aリーグ,レギュラー, 245 ,2026/06/29,21:36:30,レッドリボン軍,B地区,-11.7,3着,,28300,P0021
2026,Aリーグ,レギュラー, 245 ,2026/06/29,21:36:30,武装,乙子,-46.6,4着,,13400,P0236
2026,Aリーグ,レギュラー, 246 ,2026/06/29,21:39:36,MJAC愛好会,教室生 ユウ,61.6,1着,第一試合,41600,P0248
2026,Aリーグ,レギュラー, 246 ,2026/06/29,21:39:36,最強位ズ,Hiromu,10.0,2着,,30000,P0030
2026,Aリーグ,レギュラー, 246 ,2026/06/29,21:39:36,HIVE,郷 ひろし,-18.8,3着,,21200,P0250
2026,Aリーグ,レギュラー, 246 ,2026/06/29,21:39:36,SSブルーバーズ,Hara,-52.8,4着,,7200,P0029
2026,Aリーグ,レギュラー, 247 ,2026/06/29,22:37:21,最強位ズ,まびたん,70.0,1着,第二試合,50000,P0187
2026,Aリーグ,レギュラー, 247 ,2026/06/29,22:37:21,MJAC愛好会,打撃系ヤルカツ,4.9,2着,,24900,P0295
2026,Aリーグ,レギュラー, 247 ,2026/06/29,22:37:21,SSブルーバーズ,石田亮太,-21.8,3着,,18200,P0014
2026,Aリーグ,レギュラー, 247 ,2026/06/29,22:37:21,HIVE,最後のZ戦士達,-53.1,4着,,6900,P0261
2026,Aリーグ,レギュラー, 248 ,2026/06/29,22:37:27,SILVER WOLVES,まーくん RMU,64.8,1着,第二試合,44800,P0184
2026,Aリーグ,レギュラー, 248 ,2026/06/29,22:37:27,enjoyすればイイ雀！,べびたん,10.1,2着,,30100,P0173
2026,Aリーグ,レギュラー, 248 ,2026/06/29,22:37:27,MJ東京,葛餅,-21.6,3着,,18400,P0240
2026,Aリーグ,レギュラー, 248 ,2026/06/29,22:37:27,電光石火,ひろとだポン,-53.3,4着,,6700,P0163
2026,Bリーグ,レギュラー, 249 ,2026/06/29,22:41:21,教室生☆KSC,Redstar,51.4,1着,第一試合,31400,P0051
2026,Bリーグ,レギュラー, 249 ,2026/06/29,22:41:21,さわやかMJ野郎の会,Blue-K18,9.8,2着,,29800,P0018
2026,Bリーグ,レギュラー, 249 ,2026/06/29,22:41:21,他力本願寺,まんまるきや,-20.5,3着,,19500,P0191
2026,Bリーグ,レギュラー, 249 ,2026/06/29,22:41:21,TEAM AJITO,chemi,-40.7,4着,,19300,P0022
2026,Bリーグ,レギュラー, 250 ,2026/06/29,22:43:05,IRU,猪突猛進男,78.4,1着,第二試合,58400,P0299
2026,Bリーグ,レギュラー, 250 ,2026/06/29,22:43:05,楽しめばイイ雀,Kou,17.4,2着,,37400,P0038
2026,Bリーグ,レギュラー, 250 ,2026/06/29,22:43:05,Vertice,moka,-34.1,3着,,5900,P0042
2026,Bリーグ,レギュラー, 250 ,2026/06/29,22:43:05,おたまーず,エイデン二号機,-61.7,4着,,-1700,P0075
2026,Aリーグ,レギュラー, 251 ,2026/06/29,22:45:24,たちこまーず,たちこま,54.9,1着,第二試合,34900,P0134
2026,Aリーグ,レギュラー, 251 ,2026/06/29,22:45:24,武装,フィクション,10.1,2着,,30100,P0165
2026,Aリーグ,レギュラー, 251 ,2026/06/29,22:45:24,レッドリボン軍,くまさぶろー,-16.9,3着,,23100,P0100
2026,Aリーグ,レギュラー, 251 ,2026/06/29,22:45:24,ＺＯＯ,サンタマルコ,-48.1,4着,,11900,P0110
2026,Bリーグ,レギュラー, 252 ,2026/06/29,22:45:36,Team MJ lovers,喜多剛士@μ,56.1,1着,第二試合,36100,P0241
2026,Bリーグ,レギュラー, 252 ,2026/06/29,22:45:36,チートイズ,あすてる,9.5,2着,,29500,P0067
2026,Bリーグ,レギュラー, 252 ,2026/06/29,22:45:36,La vie en Rose,★神威★,-20.8,3着,,19200,P0007
2026,Bリーグ,レギュラー, 252 ,2026/06/29,22:45:36,Brave Revengers,りゅー,-44.8,4着,,15200,P0215
2026,Aリーグ,レギュラー, 253 ,2026/06/30,21:25:11,ＺＯＯ,サンタマルコ,52.6,1着,第一試合,32600,P0110
2026,Aリーグ,レギュラー, 253 ,2026/06/30,21:25:11,MJ東京,えんがわ,6.9,2着,,26900,P0078
2026,Aリーグ,レギュラー, 253 ,2026/06/30,21:25:11,最強位ズ,ｒｒｒｒｒｒ,-19.7,3着,,20300,P0053
2026,Aリーグ,レギュラー, 253 ,2026/06/30,21:25:11,たちこまーず,ミズゴロウ♂,-39.8,4着,,20200,P0193
2026,Aリーグ,レギュラー, 254 ,2026/06/30,21:29:53,SILVER WOLVES,松崎真也,58.3,1着,第一試合,38300,P0276
2026,Aリーグ,レギュラー, 254 ,2026/06/30,21:29:53,電光石火,k-k,10.9,2着,,30900,P0034
2026,Aリーグ,レギュラー, 254 ,2026/06/30,21:29:53,SSブルーバーズ,おむ,-9.6,3着,,30400,P0086
2026,Aリーグ,レギュラー, 254 ,2026/06/30,21:29:53,武装,アベキング,-59.6,4着,,400,P0070
2026,Bリーグ,レギュラー, 255 ,2026/06/30,21:32:56,Brave Revengers,サブ垢先輩,57.1,1着,第一試合,37100,P0109
2026,Bリーグ,レギュラー, 255 ,2026/06/30,21:32:56,おたまーず,鰤トニー,6.6,2着,,26600,P0326
2026,Bリーグ,レギュラー, 255 ,2026/06/30,21:32:56,教室生☆KSC,Redstar,-16.1,3着,,23900,P0051
2026,Bリーグ,レギュラー, 255 ,2026/06/30,21:32:56,Team MJ lovers,溝渕智也,-47.6,4着,,12400,P0259
2026,Bリーグ,レギュラー, 256 ,2026/06/30,21:33:55,IRU,？？？？？,68.1,1着,第一試合,48100,P0001
2026,Bリーグ,レギュラー, 256 ,2026/06/30,21:33:55,さわやかMJ野郎の会,黙示録@SMY会,21.3,2着,,41300,P0316
2026,Bリーグ,レギュラー, 256 ,2026/06/30,21:33:55,他力本願寺,YOU太郎,-20.0,3着,,20000,P0064
2026,Bリーグ,レギュラー, 256 ,2026/06/30,21:33:55,チートイズ,しげぞー,-69.4,4着,,-9400,P0114
2026,Aリーグ,レギュラー, 257 ,2026/06/30,21:37:13,HIVE,一之瀬 優,74.5,1着,第一試合,54500,P0230
2026,Aリーグ,レギュラー, 257 ,2026/06/30,21:37:13,enjoyすればイイ雀！,みや,21.8,2着,,41800,P0195
2026,Aリーグ,レギュラー, 257 ,2026/06/30,21:37:13,MJAC愛好会,つかぴー,-28.8,3着,,11200,P0137
2026,Aリーグ,レギュラー, 257 ,2026/06/30,21:37:13,レッドリボン軍,とと,-67.5,4着,,-7500,P0144
2026,Bリーグ,レギュラー, 258 ,2026/06/30,21:50:10,Vertice,フィーレン,74.2,1着,第一試合,54200,P0164
2026,Bリーグ,レギュラー, 258 ,2026/06/30,21:50:10,楽しめばイイ雀,七対子大好き,21.9,2着,,41900,P0267
2026,Bリーグ,レギュラー, 258 ,2026/06/30,21:50:10,La vie en Rose,まんまる,-6.8,3着,,33200,P0190
2026,Bリーグ,レギュラー, 258 ,2026/06/30,21:50:10,TEAM AJITO,flantic,-89.3,4着,,-29300,P0025
2026,Bリーグ,レギュラー, 259 ,2026/06/30,22:29:17,おたまーず,樹央,62.4,1着,第二試合,42400,P0268
2026,Bリーグ,レギュラー, 259 ,2026/06/30,22:29:17,Brave Revengers,仇森龍,8.7,2着,,28700,P0245
2026,Bリーグ,レギュラー, 259 ,2026/06/30,22:29:17,Team MJ lovers,ゆっしー@,-24.4,3着,,15600,P0207
2026,Bリーグ,レギュラー, 259 ,2026/06/30,22:29:17,教室生☆KSC,元教室生タク,-46.7,4着,,13300,P0255
2026,Aリーグ,レギュラー, 260 ,2026/06/30,22:31:48,HIVE,せいたろう,63.9,1着,第二試合,43900,P0122
2026,Aリーグ,レギュラー, 260 ,2026/06/30,22:31:48,enjoyすればイイ雀！,せなmam@,13.8,2着,,33800,P0124
2026,Aリーグ,レギュラー, 260 ,2026/06/30,22:31:48,レッドリボン軍,なおすけ,-27.4,3着,,12600,P0150
2026,Aリーグ,レギュラー, 260 ,2026/06/30,22:31:48,MJAC愛好会,亜空間コツボー,-50.3,4着,,9700,P0227
2026,Bリーグ,レギュラー, 261 ,2026/06/30,22:35:09,TEAM AJITO,神田大行,92.2,1着,第二試合,72200,P0282
2026,Bリーグ,レギュラー, 261 ,2026/06/30,22:35:09,Vertice,フィーレン,1.0,2着,,21000,P0164
2026,Bリーグ,レギュラー, 261 ,2026/06/30,22:35:09,La vie en Rose,３１０７,-34.6,3着,,5400,P0013
2026,Bリーグ,レギュラー, 261 ,2026/06/30,22:35:09,楽しめばイイ雀,捜査一課長,-58.6,4着,,1400,P0292
2026,Bリーグ,レギュラー, 262 ,2026/06/30,22:43:10,他力本願寺,まんまるきや,71.2,1着,第二試合,51200,P0191
2026,Bリーグ,レギュラー, 262 ,2026/06/30,22:43:10,さわやかMJ野郎の会,パイ乙戦士全ツ,11.8,2着,,31800,P0156
2026,Bリーグ,レギュラー, 262 ,2026/06/30,22:43:10,IRU,奥山瞭,-18.0,3着,,22000,P0216
2026,Bリーグ,レギュラー, 262 ,2026/06/30,22:43:10,チートイズ,しげぞー,-65.0,4着,,-5000,P0114
2026,Aリーグ,レギュラー, 263 ,2026/06/30,22:49:20,MJ東京,Mychemi,52.6,1着,第二試合,32600,P0044
2026,Aリーグ,レギュラー, 263 ,2026/06/30,22:49:20,最強位ズ,ダイゴ＠LA,9.1,2着,,29100,P0130
2026,Aリーグ,レギュラー, 263 ,2026/06/30,22:49:20,たちこまーず,おしゃる,-14.8,3着,,25200,P0082
2026,Aリーグ,レギュラー, 263 ,2026/06/30,22:49:20,ＺＯＯ,Bu Ki Chi,-46.9,4着,,13100,P0020
2026,Aリーグ,レギュラー, 264 ,2026/06/30,23:05:51,SILVER WOLVES,田口淳之介,57.6,1着,第二試合,37600,P0269
2026,Aリーグ,レギュラー, 264 ,2026/06/30,23:05:51,電光石火,どっち？弾平,11.5,2着,,31500,P0143
2026,Aリーグ,レギュラー, 264 ,2026/06/30,23:05:51,SSブルーバーズ,石田亮太,-21.4,3着,,18600,P0014
2026,Aリーグ,レギュラー, 264 ,2026/06/30,23:05:51,武装,とむとむ,-47.7,4着,,12300,P0146
2026,Bリーグ,レギュラー, 265 ,2026/07/02,21:28:44,教室生☆KSC,Anmi,54.9,1着,第一試合,34900,P0016
