年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2026,Aリーグ,レギュラー, 43 ,2026/05/29,22:27:00,MJ東京,キレそう,-25.5,3着,,14500,P0097
2026,Aリーグ,レギュラー, 43 ,2026/05/29,22:27:00,たちこまーず,まぽぽ,-52.7,4着,,7300,P0188
2026,Bリーグ,レギュラー, 44 ,2026/05/29,22:29:09,教室生☆KSC,☆魔雀T塾生☆,58.5,1着,第一試合,38500,P0010
2026,Bリーグ,レギュラー, 44 ,2026/05/29,22:29:09,さわやかMJ野郎の会,黒太郎@SMY会,11.3,2着,,31300,P0260
2026,Bリーグ,レギュラー, 44 ,2026/05/29,22:29:09,おたまーず,鰤トニー,-24.3,3着,,15700,P0326
2026,Bリーグ,レギュラー, 44 ,2026/05/29,22:29:09,チートイズ,おさやスイープ,-45.5,4着,,14500,P0081
2026,Bリーグ,レギュラー, 45 ,2026/05/29,22:30:11,Team MJ lovers,μゆぅちゃん,59.1,1着,第二試合,39100,P0327
2026,Bリーグ,レギュラー, 45 ,2026/05/29,22:30:11,La vie en Rose,なほみん,6.6,2着,,26600,P0153
2026,Bリーグ,レギュラー, 45 ,2026/05/29,22:30:11,楽しめばイイ雀,小四喜大好き,-15.7,3着,,24300,P0272
2026,Bリーグ,レギュラー, 45 ,2026/05/29,22:30:11,IRU,uki,-50.0,4着,,10000,P0059
2026,Aリーグ,レギュラー, 46 ,2026/05/29,22:36:08,武装,とむとむ,56.5,1着,第二試合,36500,P0146
2026,Aリーグ,レギュラー, 46 ,2026/05/29,22:36:08,MJAC愛好会,打撃系ヤルカツ,6.1,2着,,26100,P0295
2026,Aリーグ,レギュラー, 46 ,2026/05/29,22:36:08,最強位ズ,まびたん,-17.8,3着,,22200,P0187
2026,Aリーグ,レギュラー, 46 ,2026/05/29,22:36:08,ＺＯＯ,戯言遣い,-44.8,4着,,15200,P0242
2026,Bリーグ,レギュラー, 47 ,2026/05/29,22:39:29,Vertice,フィーレン,61.8,1着,第二試合,41800,P0164
2026,Bリーグ,レギュラー, 47 ,2026/05/29,22:39:29,他力本願寺,たくおっち,7.9,2着,,27900,P0132
2026,Bリーグ,レギュラー, 47 ,2026/05/29,22:39:29,TEAM AJITO,ｋｅｎ@あじと,-18.5,3着,,21500,P0036
2026,Bリーグ,レギュラー, 47 ,2026/05/29,22:39:29,Brave Revengers,りゅー,-51.2,4着,,8800,P0215
2026,Aリーグ,レギュラー, 48 ,2026/05/29,22:40:37,レッドリボン軍,くまさぶろー,73.3,1着,第二試合,53300,P0100
2026,Aリーグ,レギュラー, 48 ,2026/05/29,22:40:37,SILVER WOLVES,田口淳之介,24.3,2着,,44300,P0269
2026,Aリーグ,レギュラー, 48 ,2026/05/29,22:40:37,enjoyすればイイ雀！,べびたん,-24.0,3着,,16000,P0173
2026,Aリーグ,レギュラー, 48 ,2026/05/29,22:40:37,SSブルーバーズ,サヴェ松田,-73.6,4着,,-13600,P0107
2026,Aリーグ,レギュラー, 49 ,2026/06/01,21:29:58,MJ東京,葛餅,64.6,1着,第一試合,44600,P0240
2026,Aリーグ,レギュラー, 49 ,2026/06/01,21:29:58,enjoyすればイイ雀！,かに,11.3,2着,,31300,P0091
2026,Aリーグ,レギュラー, 49 ,2026/06/01,21:29:58,電光石火,けっけ,-27.1,3着,,12900,P0102
2026,Aリーグ,レギュラー, 49 ,2026/06/01,21:29:58,ＺＯＯ,ご飯にバター,-48.8,4着,,11200,P0106
2026,Bリーグ,レギュラー, 50 ,2026/06/01,21:31:18,さわやかMJ野郎の会,つよ,61.3,1着,第一試合,41300,P0139
2026,Bリーグ,レギュラー, 50 ,2026/06/01,21:31:18,おたまーず,エイデン二号機,16.1,2着,,36100,P0075
2026,Bリーグ,レギュラー, 50 ,2026/06/01,21:31:18,Team MJ lovers,喜多剛士@μ,-9.4,3着,,30600,P0241
2026,Bリーグ,レギュラー, 50 ,2026/06/01,21:31:18,Brave Revengers,仇森龍,-68.0,4着,,-8000,P0245
2026,Bリーグ,レギュラー, 51 ,2026/06/01,21:40:22,楽しめばイイ雀,小四喜大好き,77.9,1着,第一試合,57900,P0272
2026,Bリーグ,レギュラー, 51 ,2026/06/01,21:40:22,他力本願寺,灰鶴,3.0,2着,,23000,P0239
2026,Bリーグ,レギュラー, 51 ,2026/06/01,21:40:22,教室生☆KSC,w-baby,-17.6,3着,,22400,P0060
2026,Bリーグ,レギュラー, 51 ,2026/06/01,21:40:22,TEAM AJITO,ｋｅｎ@あじと,-63.3,4着,,-3300,P0036
2026,Aリーグ,レギュラー, 52 ,2026/06/01,21:48:23,たちこまーず,ミズゴロウ♂,70.8,1着,第一試合,50800,P0193
2026,Aリーグ,レギュラー, 52 ,2026/06/01,21:48:23,武装,ツナマヨ,5.1,2着,,25100,P0138
2026,Aリーグ,レギュラー, 52 ,2026/06/01,21:48:23,最強位ズ,リョータ,-20.4,3着,,19600,P0217
2026,Aリーグ,レギュラー, 52 ,2026/06/01,21:48:23,SSブルーバーズ,おむ,-55.5,4着,,4500,P0086
2026,Bリーグ,レギュラー, 53 ,2026/06/01,21:51:53,La vie en Rose,ジョーカー,68.3,1着,第一試合,48300,P0118
2026,Bリーグ,レギュラー, 53 ,2026/06/01,21:51:53,Vertice,ゆうー,24.2,2着,,44200,P0203
2026,Bリーグ,レギュラー, 53 ,2026/06/01,21:51:53,IRU,aoking,-25.5,3着,,14500,P0017
2026,Bリーグ,レギュラー, 53 ,2026/06/01,21:51:53,チートイズ,公務員麻雀M,-67.0,4着,,-7000,P0258
2026,Aリーグ,レギュラー, 54 ,2026/06/01,21:52:13,SILVER WOLVES,阿賀寿直,71.1,1着,第一試合,51100,P0228
